country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"ITO, Delhi - CPCB","14-04-2026 20:00:00",28.628624,77.241060,NO2,30,122,51
India,Delhi,Delhi,"JNU, Delhi - DPCC","14-04-2026 20:00:00","28.540721 ","77.168544 ",OZONE,4,64,49
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","14-04-2026 20:00:00",28.732820,77.170633,PM10,108,401,224
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","14-04-2026 20:00:00",28.732820,77.170633,NO2,29,120,74
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","14-04-2026 20:00:00",28.580280,77.233829,NO2,34,141,98
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","14-04-2026 20:00:00",28.580280,77.233829,NH3,8,10,9
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","14-04-2026 20:00:00","28.493624 ","77.201159 ",PM10,61,200,137
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","14-04-2026 20:00:00",28.6811736,77.3025234,NO2,36,130,72
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","14-04-2026 20:00:00",28.6811736,77.3025234,NH3,5,6,5
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","14-04-2026 20:00:00",28.542460,77.191651,PM2.5,45,106,71
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","14-04-2026 20:00:00",28.498571,77.264840,SO2,12,35,22
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","14-04-2026 20:00:00",28.5710274,77.0719006,PM10,111,500,213
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","14-04-2026 20:00:00",28.5710274,77.0719006,NO2,28,167,78
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","14-04-2026 20:00:00",28.5710274,77.0719006,NH3,3,47,13
India,Delhi,Delhi,"Rohini, Delhi - DPCC","14-04-2026 20:00:00",28.732528,77.119920,OZONE,6,86,61
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","14-04-2026 20:00:00",28.710508,77.249485,PM10,76,500,263
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","14-04-2026 20:00:00",28.710508,77.249485,NO2,16,89,44
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","14-04-2026 20:00:00",28.710508,77.249485,NH3,6,13,8
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","14-04-2026 20:00:00",28.710508,77.249485,SO2,36,70,49
India,Delhi,Delhi,"DTU, Delhi - CPCB","14-04-2026 20:00:00",28.7500499,77.1112615,NH3,6,11,10
India,Delhi,Delhi,"DTU, Delhi - CPCB","14-04-2026 20:00:00",28.7500499,77.1112615,SO2,25,38,30
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","14-04-2026 20:00:00",28.498571,77.264840,PM2.5,23,193,87
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","14-04-2026 20:00:00",28.5627763,77.1180053,CO,36,73,40
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","14-04-2026 20:00:00",28.3419248,77.319699,NH3,3,3,3
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","14-04-2026 20:00:00",28.3419248,77.319699,SO2,4,9,6
